content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,gaussian_blur,gblur_heavy,Canny Only,0.22209165687426558,1702,519
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.0499412455934195,1702,328
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,1702,1609
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.37132784958871917,1702,233703
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.04406580493537015,1702,364
scene,gaussian_blur,gblur_mild,Canny Only,0.24618096357226793,1702,536
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.3789659224441833,1702,1674
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0,1702,1666
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.2626321974148061,1702,234189
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.18507638072855465,1702,2308
scene,combined,combined_dark_blur,Canny Only,0.0,1702,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.03172737955346651,1702,100
scene,combined,combined_dark_blur,HistEq + Canny,0.13160987074030553,1702,18752
scene,combined,combined_dark_blur,Adaptive Thresh,0.7491186839012925,1702,238574
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.10693301997649823,1702,873
scene,combined,combined_moderate,Canny Only,0.02702702702702703,1702,59
scene,combined,combined_moderate,CLAHE + Canny,0.038777908343125736,1702,107
scene,combined,combined_moderate,HistEq + Canny,0.020564042303172738,1702,10707
scene,combined,combined_moderate,Adaptive Thresh,0.8595769682726204,1702,237576
scene,combined,combined_moderate,Ours (ADRR + Canny),0.0,1702,40
scene,dark,dark_severe,Canny Only,0.0,1352,0
scene,dark,dark_severe,CLAHE + Canny,0.0,1352,0
scene,dark,dark_severe,HistEq + Canny,0.8357988165680473,1352,42926
scene,dark,dark_severe,Adaptive Thresh,0.4977810650887574,1352,236807
scene,dark,dark_severe,Ours (ADRR + Canny),0.19748520710059173,1352,2369
scene,dark,dark_heavy,Canny Only,0.0,1352,0
scene,dark,dark_heavy,CLAHE + Canny,0.4319526627218935,1352,689
scene,dark,dark_heavy,HistEq + Canny,0.8572485207100592,1352,42656
scene,dark,dark_heavy,Adaptive Thresh,0.4977810650887574,1352,236310
scene,dark,dark_heavy,Ours (ADRR + Canny),0.20562130177514792,1352,2794
scene,dark,dark_moderate,Canny Only,0.46449704142011833,1352,685
scene,dark,dark_moderate,CLAHE + Canny,0.9267751479289941,1352,1384
scene,dark,dark_moderate,HistEq + Canny,0.8690828402366864,1352,28118
scene,dark,dark_moderate,Adaptive Thresh,0.4977810650887574,1352,230538
scene,dark,dark_moderate,Ours (ADRR + Canny),0.46449704142011833,1352,685
scene,dark,dark_mild,Canny Only,0.9637573964497042,1352,1355
scene,dark,dark_mild,CLAHE + Canny,0.9504437869822485,1352,1389
scene,dark,dark_mild,HistEq + Canny,0.8742603550295858,1352,37530
scene,dark,dark_mild,Adaptive Thresh,0.4977810650887574,1352,211889
scene,dark,dark_mild,Ours (ADRR + Canny),0.9637573964497042,1352,1355
scene,motion_blur,mblur_severe_h,Canny Only,0.14644970414201183,1352,520
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.14792899408284024,1352,802
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.08727810650887574,1352,1548
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.7507396449704142,1352,233712
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.14644970414201183,1352,520
scene,motion_blur,mblur_moderate_h,Canny Only,0.16050295857988164,1352,569
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.15754437869822485,1352,1148
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.09763313609467456,1352,1372
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5281065088757396,1352,229889
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.16050295857988164,1352,569
scene,motion_blur,mblur_moderate_d,Canny Only,0.20636094674556213,1352,809
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.20710059171597633,1352,1346
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.07692307692307693,1352,1356
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.3025147928994083,1352,225477
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.20636094674556213,1352,809
scene,motion_blur,mblur_mild_v,Canny Only,0.3276627218934911,1352,1065
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.34615384615384615,1352,1694
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.1752958579881657,1352,1348
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.29142011834319526,1352,227279
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.3276627218934911,1352,1065
scene,gaussian_blur,gblur_heavy,Canny Only,0.0,1352,0
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.06360946745562131,1352,552
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,1352,1176
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.05621301775147929,1352,235704
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.05621301775147929,1352,1199
scene,gaussian_blur,gblur_mild,Canny Only,0.2943786982248521,1352,700
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.6449704142011834,1352,1433
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0,1352,1324
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.41124260355029585,1352,236548
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.11390532544378698,1352,2249
scene,combined,combined_dark_blur,Canny Only,0.0,1352,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.03920118343195266,1352,85
scene,combined,combined_dark_blur,HistEq + Canny,0.09023668639053255,1352,11630
scene,combined,combined_dark_blur,Adaptive Thresh,0.8727810650887574,1352,238847
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.07988165680473373,1352,470
