content_type,deg_type,deg_label,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,steps_applied
scene,motion_blur,mblur_mild_v,29.690689240977754,21.661498534287787,-8.029190706689967,0.847314306400062,0.7786571141756928,-0.06865719222436917,['wiener_deconvolution']
scene,gaussian_blur,gblur_heavy,28.980902775865395,21.96349469924123,-7.017408076624164,0.8320126159525987,0.8138904157347117,-0.01812220021788702,['wiener_deconvolution']
scene,gaussian_blur,gblur_mild,30.993183635726904,21.927610408778307,-9.065573226948597,0.853639114336632,0.8003230759411287,-0.05331603839550325,['wiener_deconvolution']
scene,combined,combined_dark_blur,3.864364533031235,9.730451946777928,5.866087413746692,0.25072986380421,0.7056944844000477,0.4549646205958377,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,combined,combined_moderate,4.948905744048259,4.66626621899148,-0.28263952505677903,0.3969225545766069,0.3587404121097666,-0.03818214246684032,['wiener_deconvolution']
scene,dark,dark_severe,1.9564146129133149,6.071765443149294,4.115350830235979,0.1685075451118723,0.5783251799889825,0.4098176348771102,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_heavy,2.450800367439253,7.207643541301746,4.756843173862492,0.25548157090960816,0.6352346282842193,0.3797530573746111,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_moderate,3.5401866868968046,3.5401866868968046,0.0,0.42545774457673796,0.42545774457673796,0.0,['none_required']
scene,dark,dark_mild,5.472009808171443,5.472009808171443,0.0,0.6483145614885991,0.6483145614885991,0.0,['none_required']
scene,motion_blur,mblur_severe_h,26.70165605673372,26.70165605673372,0.0,0.8399728197438473,0.8399728197438473,0.0,['none_required']
scene,motion_blur,mblur_moderate_h,27.7987142650639,27.7987142650639,0.0,0.847531416348138,0.847531416348138,0.0,['none_required']
scene,motion_blur,mblur_moderate_d,27.831099548016827,27.831099548016827,0.0,0.8502284284701619,0.8502284284701619,0.0,['none_required']
scene,motion_blur,mblur_mild_v,30.59765403895552,30.59765403895552,0.0,0.8638463175956667,0.8638463175956667,0.0,['none_required']
scene,gaussian_blur,gblur_heavy,28.145116723921987,20.582635699124268,-7.562481024797719,0.8406947000806899,0.8167843218979512,-0.023910378182738667,['wiener_deconvolution']
scene,gaussian_blur,gblur_mild,30.77987801103577,20.32758061211975,-10.45229739891602,0.8601365675389802,0.8026899946822396,-0.057446572856740596,['wiener_deconvolution']
scene,combined,combined_dark_blur,2.4470324361283557,7.291063742461944,4.844031306333588,0.2433640831126607,0.6706106441539785,0.42724656104131786,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,combined,combined_moderate,3.533511058006104,3.252041297320885,-0.28146976068521923,0.39575467446689044,0.3519325693162825,-0.04382210515060797,['wiener_deconvolution']
text,dark,dark_severe,2.175716806277225,6.295391375242952,4.119674568965727,0.18161033834380355,0.6461696427016497,0.4645593043578461,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,dark,dark_heavy,2.664560435151409,8.671879399176607,6.007318964025198,0.2715255049930482,0.8430795924401472,0.571554087447099,['zero_dce_enhancement']
text,dark,dark_moderate,3.733433641983592,3.733433641983592,0.0,0.44306495236766924,0.44306495236766924,0.0,['none_required']
text,dark,dark_mild,5.6974368107571935,5.6974368107571935,0.0,0.6696520851880792,0.6696520851880792,0.0,['none_required']
text,motion_blur,mblur_severe_h,20.98054311177734,20.98054311177734,0.0,0.9047363769605287,0.9047363769605287,0.0,['none_required']
text,motion_blur,mblur_moderate_h,21.97466005015675,21.97466005015675,0.0,0.9106238720933694,0.9106238720933694,0.0,['none_required']
text,motion_blur,mblur_moderate_d,21.89207685084969,21.89207685084969,0.0,0.8927868521508275,0.8927868521508275,0.0,['none_required']
text,motion_blur,mblur_mild_v,24.713356342941047,24.713356342941047,0.0,0.9386149044684324,0.9386149044684324,0.0,['none_required']
